REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
TAS1,2020/01/01 00:30:00,1001.15,81.80,TRADE
TAS1,2020/01/01 01:00:00,997.86,81.81,TRADE
TAS1,2020/01/01 01:30:00,984.03,81.79,TRADE
TAS1,2020/01/01 02:00:00,975.72,81.76,TRADE
TAS1,2020/01/01 02:30:00,959.92,81.76,TRADE
TAS1,2020/01/01 03:00:00,939.18,81.76,TRADE
TAS1,2020/01/01 03:30:00,956.08,81.78,TRADE
TAS1,2020/01/01 04:00:00,964.86,81.78,TRADE
TAS1,2020/01/01 04:30:00,960.67,70.55,TRADE
TAS1,2020/01/01 05:00:00,942.15,70.42,TRADE
TAS1,2020/01/01 05:30:00,955.35,70.48,TRADE
TAS1,2020/01/01 06:00:00,950.53,70.42,TRADE
TAS1,2020/01/01 06:30:00,961.62,70.42,TRADE
TAS1,2020/01/01 07:00:00,944.24,70.42,TRADE
TAS1,2020/01/01 07:30:00,961,70.42,TRADE
TAS1,2020/01/01 08:00:00,965.52,70.42,TRADE
TAS1,2020/01/01 08:30:00,962.11,70.42,TRADE
TAS1,2020/01/01 09:00:00,961.35,70.42,TRADE
TAS1,2020/01/01 09:30:00,967.71,70.42,TRADE
TAS1,2020/01/01 10:00:00,977.83,70.42,TRADE
TAS1,2020/01/01 10:30:00,976.51,76.20,TRADE
TAS1,2020/01/01 11:00:00,972.44,73.19,TRADE
TAS1,2020/01/01 11:30:00,960.63,72.32,TRADE
TAS1,2020/01/01 12:00:00,942.23,70.46,TRADE
TAS1,2020/01/01 12:30:00,929.48,70.42,TRADE
TAS1,2020/01/01 13:00:00,922.06,70.42,TRADE
TAS1,2020/01/01 13:30:00,920.43,70.42,TRADE
TAS1,2020/01/01 14:00:00,938.21,70.42,TRADE
TAS1,2020/01/01 14:30:00,959.43,70.42,TRADE
TAS1,2020/01/01 15:00:00,962.22,70.42,TRADE
TAS1,2020/01/01 15:30:00,962.29,70.42,TRADE
TAS1,2020/01/01 16:00:00,968.63,70.42,TRADE
TAS1,2020/01/01 16:30:00,1001.22,70.42,TRADE
TAS1,2020/01/01 17:00:00,1032.96,69.03,TRADE
TAS1,2020/01/01 17:30:00,1052.83,58.61,TRADE
TAS1,2020/01/01 18:00:00,1053.67,61.32,TRADE
TAS1,2020/01/01 18:30:00,1067.17,66.56,TRADE
TAS1,2020/01/01 19:00:00,1075.79,68.70,TRADE
TAS1,2020/01/01 19:30:00,1075.95,68.83,TRADE
TAS1,2020/01/01 20:00:00,1069.75,70.14,TRADE
TAS1,2020/01/01 20:30:00,1081.37,70.42,TRADE
TAS1,2020/01/01 21:00:00,1063.19,69.31,TRADE
TAS1,2020/01/01 21:30:00,1054.65,68.03,TRADE
TAS1,2020/01/01 22:00:00,1039.81,65.68,TRADE
TAS1,2020/01/01 22:30:00,1015.21,68.73,TRADE
TAS1,2020/01/01 23:00:00,1015.78,64.78,TRADE
TAS1,2020/01/01 23:30:00,1007.56,71.50,TRADE
TAS1,2020/01/02 00:00:00,997.78,73.69,TRADE
TAS1,2020/01/02 00:30:00,993.95,71.18,TRADE
TAS1,2020/01/02 01:00:00,984.17,71.66,TRADE
TAS1,2020/01/02 01:30:00,969.55,70.46,TRADE
TAS1,2020/01/02 02:00:00,976.77,70.46,TRADE
TAS1,2020/01/02 02:30:00,970.61,70.46,TRADE
TAS1,2020/01/02 03:00:00,966.31,71.45,TRADE
TAS1,2020/01/02 03:30:00,973.87,72.15,TRADE
TAS1,2020/01/02 04:00:00,977.12,70.46,TRADE
TAS1,2020/01/02 04:30:00,986.48,103.84,TRADE
TAS1,2020/01/02 05:00:00,988.31,109.30,TRADE
TAS1,2020/01/02 05:30:00,1018.81,95.14,TRADE
TAS1,2020/01/02 06:00:00,1039.72,101.36,TRADE
TAS1,2020/01/02 06:30:00,1051.45,90.70,TRADE
TAS1,2020/01/02 07:00:00,1050.37,77.55,TRADE
TAS1,2020/01/02 07:30:00,1064.47,75.54,TRADE
TAS1,2020/01/02 08:00:00,1081.79,125.56,TRADE
TAS1,2020/01/02 08:30:00,1076.67,104.81,TRADE
TAS1,2020/01/02 09:00:00,1073.45,103.72,TRADE
TAS1,2020/01/02 09:30:00,1078.72,179.40,TRADE
TAS1,2020/01/02 10:00:00,1093.07,84.96,TRADE
TAS1,2020/01/02 10:30:00,1079.3,80.03,TRADE
TAS1,2020/01/02 11:00:00,1068.57,108.90,TRADE
TAS1,2020/01/02 11:30:00,1027.32,75.43,TRADE
TAS1,2020/01/02 12:00:00,1003.65,74.70,TRADE
TAS1,2020/01/02 12:30:00,992.98,74.58,TRADE
TAS1,2020/01/02 13:00:00,984.31,73.03,TRADE
TAS1,2020/01/02 13:30:00,1006.62,79.41,TRADE
TAS1,2020/01/02 14:00:00,1009.6,81.28,TRADE
