,0,1,2,3,4,5,6,7,8,9
0,1344.8685746965928,1344.023500654786,1341.2683321084717,1347.6893756698182,1349.9864684038942,1352.0955732171924,1342.641497880765,1350.0137671836105,1343.0055922251922,1342.6448724052136
1,1355.7406891373482,1364.188584026931,1353.1147467011322,1362.4166116994443,1363.2339422304722,1358.0672187628427,1357.7246072420614,1355.1153301854424,1362.9268499453717,1351.6054270737125
2,1315.6835768776205,1319.345163511463,1316.4222380859646,1323.977836367229,1332.0017716157429,1322.532643059366,1307.6191913859984,1317.8634458250233,1323.1805208923872,1321.27047576956
3,1282.1438246659438,1288.2667945252565,1279.0452973006634,1279.680496619616,1288.2973420158073,1278.523108533022,1271.3228836925778,1278.640443888895,1290.7839963440103,1274.3211713817986
4,1230.360901731128,1233.5026181291482,1231.4071213428742,1225.335694453093,1234.8830295932892,1229.3666438820194,1226.8584022146918,1223.8761520006988,1241.857113987775,1229.0758291484635
5,1181.0367480549946,1175.5270292096693,1180.9964343738654,1176.4060351226092,1185.416619410652,1179.9574310351784,1176.45359596807,1178.5449902077405,1188.576633559135,1188.8985714410242
6,1163.6277009364687,1159.0696424659827,1162.1606094713889,1157.4316862891858,1162.4457548211612,1163.0259321468202,1163.8010787055441,1154.0010508066403,1161.5948308744134,1174.4860928361552
7,1124.289923454405,1119.6462076487799,1126.9955557499075,1123.4953499589649,1112.559134393062,1119.9673116700797,1122.2070492880855,1111.7238667644076,1113.4520454470255,1128.6930052144198
8,1158.4599325831925,1145.5593694362144,1149.4914799196386,1154.1526998275021,1109.5181046010623,1147.9837593447487,1149.2157282358924,1150.997120722695,1145.9012473591704,1156.94915663699
9,1327.2665779834967,1323.2754179267067,1323.4526405923107,1320.9050824696708,1300.5123710047928,1322.1268912141193,1320.7848005493802,1331.6464773279406,1320.8596260653196,1321.990167998179
10,1234.6306725172703,1236.1256713485857,1234.5739709925322,1235.9311353181217,1249.2108075695924,1237.7990245774067,1232.5948411544261,1236.0945009404263,1232.1449239684002,1238.425461032727
11,1188.6326999539328,1192.4772305460585,1193.9504261831553,1190.1541682240766,1201.4471114270013,1184.2283961014393,1189.8769670192912,1186.3062391532967,1192.308134264011,1187.161341871728
12,1175.2540663587517,1177.4207275081458,1175.9429486349118,1172.9727148597722,1194.1009563651078,1169.35217563657,1169.3453188490332,1173.717873147663,1166.4642653491564,1178.376433788546
13,1095.9913899089895,1099.0411657981238,1105.2568074191167,1093.6361686017358,1109.7531063380657,1106.7647581091462,1099.0421607613828,1104.0447607072776,1103.4716150186475,1106.8816549712972
14,1080.536389211752,1080.6112986960613,1088.5690506721462,1079.5548472164307,1080.2638289986805,1084.8822202988285,1077.3522793457216,1080.3862375729498,1078.7255252563455,1088.886681878985
15,1070.8006232385271,1072.534123227239,1084.2129817058578,1067.2053588994047,1073.7133827869054,1074.265599114007,1069.4408811662404,1072.4590547759362,1070.3865098676456,1074.4857564500219
16,1035.7594390086244,1032.760696025917,1042.2260234151695,1033.8244327782825,1040.3961120427894,1038.3760339840285,1034.2349954589035,1032.4169390804032,1042.3142594530366,1042.9049821074937
17,1048.0982393471133,1054.0166919862688,1053.0468379680376,1047.5235504618993,1046.6236162088858,1053.803925645367,1053.7775723033153,1055.1193207152724,1055.2548053058679,1059.226020466745
18,1032.8215639943862,1039.000185464073,1032.7424505949336,1028.9184172600978,1038.2893000423824,1033.886895342513,1041.6780660097154,1037.7108752697995,1040.5428830243347,1038.0059850623825
19,1076.4222876591498,1079.7585364547767,1079.4351179017567,1077.35690321344,1065.4069318220254,1073.9565994828342,1081.5970865553147,1087.1123887428735,1080.9666116516946,1080.355987438901
20,1123.4036805923001,1124.2692467728502,1120.2051255586216,1130.5477578825241,1108.1596789981886,1116.1495982154738,1121.4325143826163,1130.462416129882,1122.4906500312554,1126.4827078153792
21,1195.2801653926176,1197.9556206162465,1186.9353250273316,1202.60347945529,1182.3019141847167,1193.9928490336963,1190.6574331995157,1199.1576044120695,1189.5826053676956,1190.9261722786835
22,1264.3774058843699,1267.6670283011015,1256.024982896236,1267.801482062252,1248.1120951718049,1261.630549935098,1257.3392165059881,1272.1342879568267,1257.2086610828208,1264.9742153882667
23,1321.7325100845774,1322.8593692160864,1310.617650477217,1319.3157745106246,1316.1011588607428,1322.4357835130145,1316.731788535462,1316.1513391947426,1311.331716016247,1317.9562446830066
24,1306.0142535163359,1304.9794179414992,1294.506531647876,1306.109247135577,1315.1666527565321,1311.59910238245,1302.8828669123075,1301.4869689217458,1302.4886552716787,1302.8320785846404
25,1136.8443151480733,1136.8918204036474,1128.6508335297399,1140.5286621520866,1155.7835012719258,1140.7098675654574,1141.1995301609038,1136.9166446180677,1145.006613327647,1136.0905209754444
26,977.3204715934467,974.443566051333,979.4336232855497,987.2605789332808,996.075218536605,983.3443186309461,980.7106209982111,970.612229908616,982.0598701950005,980.166672208393
27,912.9774889822303,915.0506128034195,919.0426707698788,914.7635742231147,929.1551505599328,919.8744052860081,909.3879760070706,912.8445347123413,915.0964046790472,916.8857092463761
28,780.1413264469778,780.3368728836467,784.0344895365774,789.775522591969,793.9683381122649,783.4849940839986,783.4863627867061,781.5526181146203,783.5379662045052,780.1341493698872
29,706.9305449726891,705.3890310060236,705.6468634363227,709.4053349232688,714.1512224181503,707.5474230002974,707.4594953625974,704.7990355435305,704.3429839285882,693.2900622550392
30,622.0305699267974,617.8052733509003,625.4657186037517,621.1506439773907,622.1809335400721,618.7974152804081,618.77643167039,620.286123384991,614.1610642929714,611.439569120705
31,596.0208360455697,589.4099650499868,595.4334392775368,586.454819482346,591.426748698721,590.3422148747206,590.5162844423404,589.4544284401379,583.0282042004385,587.2050396810663
32,531.6158058624663,531.0676901329027,534.4236458292067,528.1078563799772,538.1919984479774,525.016566282733,528.676438479414,523.351673444811,536.0430174608891,525.1813706014086
33,587.3464568766194,588.1246052560497,585.5366367595527,581.9816732123872,582.7872170528633,580.627547699311,580.0466651701408,577.2221292325081,590.2847727172757,582.0786908743424
34,696.7184416592835,696.4752324905668,692.3511440390146,690.1821198763671,697.8850407672346,692.4795799579375,693.7372943525394,696.3415113590581,702.4456868482109,698.6419491507461
35,865.0894288904556,866.2552179879026,870.2782713147574,869.7844368108749,869.9477344047933,871.295709689333,864.3845855718174,871.3380975270467,869.9782345100615,868.9483332303612
