,0,1,2,3,4,5,6,7,8,9
0,5535.141768566144,5520.808631130099,5518.3583496904885,5518.393120848266,5536.2401003396635,5538.034172608539,5547.750763979929,5544.509979871462,5546.953481675128,5539.3841858962505
1,5396.035502697278,5413.063153736305,5382.961291468474,5411.677954305117,5439.452087873161,5429.374363283219,5429.6590452195205,5398.377134870497,5424.763970917704,5405.859976400453
2,5291.7096600481145,5316.504266354341,5299.762178147013,5307.947884297233,5315.022980047947,5315.1385927883575,5296.761416254818,5299.246122174626,5282.861702504544,5319.356883911789
3,5292.313138912284,5309.350924949367,5305.935280794109,5278.913822321944,5313.755092332104,5299.346026593765,5296.877260560763,5299.915308268528,5283.257693596783,5313.657172283395
4,5222.074240405787,5263.515283013956,5256.103795084681,5231.638018974206,5261.168787258144,5244.556540530394,5273.107209766693,5282.0269536191845,5216.946578272133,5259.8883518474695
5,5183.907553081265,5184.517501480989,5174.145663522685,5157.668254548925,5177.847807748891,5163.682834502328,5191.119605609615,5188.375284637461,5156.8415228984295,5193.622402077939
6,5103.4233517561115,5103.031503576054,5075.623857717735,5069.68380205137,5096.5546651479945,5083.4131909548205,5101.207945628413,5102.015265078784,5072.287829917358,5097.890919277225
7,5106.002277469685,5088.724012627462,5089.508488939832,5085.615877411374,5104.18836881238,5102.713427620559,5111.155279180658,5128.324808337565,5097.159077591801,5105.8068537052295
8,5143.192149563041,5112.611635013285,5120.160120799147,5093.19904209807,5121.713612053202,5103.506834155092,5134.510350544485,5136.349282558873,5135.341493311814,5110.669853714832
9,5150.6601195457215,5144.065193568541,5147.990053921511,5137.3900733987975,5147.961272783829,5149.421546053105,5174.3831839209915,5173.179416134925,5165.8489961004025,5152.64996151213
10,5202.042318117344,5184.770164270836,5193.904321779294,5199.576688329788,5192.231863071461,5195.148439790053,5227.107062271308,5228.30936404767,5221.196508272186,5193.0273741389365
11,5230.302988469865,5192.419710203666,5235.23860186909,5225.420300281586,5232.4192232742125,5207.680409262587,5278.842342095632,5262.087347089308,5231.926178523977,5220.432471377472
12,5396.4628029422765,5377.720106002267,5359.616556509817,5388.826045372366,5382.727401500834,5392.870532236778,5403.238028987007,5385.034176113561,5412.819373648804,5411.711959272175
13,5317.89272656102,5319.332223248778,5329.631990236184,5348.026361564578,5335.468108387316,5335.150409397932,5357.011255306233,5355.261375530637,5319.8402453661465,5342.133115508375
14,5305.805183458326,5323.721908816879,5333.141707891629,5313.523696418768,5285.3469707374925,5337.55903548616,5300.678389058346,5302.674948262733,5302.965203331961,5296.131484437728
15,5182.276335845998,5208.668968875359,5224.815974294266,5189.883222676522,5180.784991624977,5205.913406072749,5215.849980575554,5218.470803637851,5189.240024092087,5206.463741308775
16,5000.625441157789,5045.055159557013,5011.384176037548,5020.697824309182,5012.807382732791,5042.123414110118,5032.209708409628,5042.414089397101,5014.673531686437,5024.144028409178
17,4973.867709353731,4980.124910962234,4995.839998451704,4952.079218267481,4970.854948098491,5001.448021664385,4956.197988413736,4967.9588488519885,4970.137425263378,4979.92619269929
18,4803.860066712534,4839.579303083597,4847.657156400813,4812.094196641435,4836.8210943456725,4858.908365788884,4859.724688189532,4875.309114478917,4829.2648804289465,4854.891712999905
19,4761.456618300831,4773.898853996648,4766.028304750565,4773.949574518936,4777.968063148819,4808.842017698327,4792.126517906107,4819.301974387717,4746.466801690486,4776.593636946334
20,4721.127242771696,4707.236428856412,4684.145697194618,4732.421269109264,4730.372333128564,4728.650694477795,4768.929185091451,4761.258351654635,4734.223522403332,4730.062201623296
21,4744.428221533211,4712.465198051437,4749.7254999982,4744.95638607493,4733.408227995755,4724.850492010093,4753.0207879740765,4762.294786676941,4738.5820581043345,4744.198720357294
22,4683.762105483541,4660.898778230588,4698.391668126653,4680.035959694052,4687.571068950352,4687.693522984081,4710.584487923042,4709.273688041081,4711.579137232096,4699.13590212394
23,4687.138626088241,4708.297135577706,4756.29885593327,4699.456349531887,4713.006654820177,4718.729692184235,4712.152293940532,4726.902000795612,4749.773255202012,4721.124747998769
24,4754.944107579949,4773.276351358092,4719.2454612203355,4730.90277895297,4735.489179075956,4751.424672645809,4739.12961719395,4739.27034899083,4768.75567028029,4751.419518671644
25,4831.047912005436,4837.175567494284,4868.538878139764,4825.169693806664,4806.561425056128,4816.5052262326135,4826.134134273559,4829.107932804175,4854.641672173635,4841.357901219038
26,4865.083256264098,4900.537453144206,4906.031746922417,4842.42141285404,4838.235162331285,4840.467521950127,4879.876893681404,4885.734431271291,4886.624125610404,4894.5479170460685
27,4969.630187742299,4992.824784035684,4974.253607561113,4940.263652924818,4928.964564764691,4964.866436650488,4968.723509013945,4967.551608509312,4937.782066747191,4976.685753499221
28,5135.1519726115075,5163.001582082968,5148.618787501973,5132.88233554883,5131.633380084742,5147.632683538165,5114.029251438872,5140.274782397452,5136.765297053904,5148.282395382736
29,5276.766238545621,5299.272940850599,5275.434246587906,5285.812010062998,5285.130083591713,5289.985378194275,5255.047528606954,5282.3211657819265,5266.848419613257,5285.1643180264455
30,5516.07871002267,5589.452270755462,5604.148898151348,5580.480481822101,5535.2816088725485,5563.90354442402,5523.208758994957,5571.005307253564,5522.473402839062,5555.263561400032
31,5873.691231215251,5889.319034442527,5849.748658442062,5886.808849638963,5818.316859907663,5860.224636811169,5833.612632578384,5857.264216196328,5826.918155914607,5843.580875465833
32,6147.994908761331,6139.25572476489,6106.267405452635,6118.522705829605,6089.175189428674,6166.54379140445,6095.223582997443,6108.700428573226,6095.419010147772,6091.545938888984
33,6388.887563693594,6479.986272487024,6436.107473210429,6385.796617899272,6420.564334933049,6484.058430022839,6393.944108878833,6396.31659435215,6385.5875193611155,6383.748375907841
34,6585.766549996007,6660.293510988069,6593.895786954222,6594.218192045793,6605.544892688175,6644.020621460251,6597.7554605893,6602.478834630913,6604.025366339604,6583.244508291893
35,6753.034502543425,6792.107113941411,6810.153091277743,6785.498864871917,6769.066222275389,6829.305707786569,6746.115404037039,6737.894748858619,6790.505962982175,6752.934521961362
36,6923.457123307648,6980.193025151908,6940.598026746776,6968.567873951479,6963.684006909912,6982.011547146435,6940.2336598715565,6914.842886014763,6975.551046107472,6978.320036097092
37,6863.8396817543235,6872.2126512894365,6863.88279065935,6893.276375010125,6868.769476315611,6837.92752220933,6893.940186988317,6885.090819334378,6871.739285754799,6873.241838766642
38,6681.074737233973,6686.657203353072,6664.179423687907,6684.212376505141,6662.873215066589,6696.985050837522,6693.468886637368,6695.003611322713,6680.334771742681,6655.711563154958
39,6478.903274299867,6507.393775451602,6456.216706952878,6510.754835907998,6475.388599659694,6493.791503547152,6462.076930521987,6471.203940295487,6511.137218361219,6485.01803466526
40,6329.928322809434,6349.180310059435,6355.074300074213,6368.892120716078,6326.60003967301,6344.039084628533,6320.551094942845,6334.717749475658,6344.972873313001,6337.752141269357
41,6249.5438468889715,6237.504673539475,6274.5971588623825,6244.154110066176,6232.895937783063,6242.192496120291,6232.146881799721,6247.072771872083,6212.101701199697,6253.232178985611
42,6052.223673167819,6023.590500625707,6036.364131598893,6060.942870033845,6055.628065930283,6041.359891944529,6027.955240520308,6086.304200931426,6038.034086023023,6024.521229345144
43,6035.679492399523,6011.000951953321,6015.234698399731,6044.076481285898,5995.696794708928,6007.232385650674,5999.775535953411,6032.4190529528905,6005.610361637499,6003.308335918509
44,5908.91924900498,5872.2598853058225,5908.817016180191,5927.030888471614,5888.400206851395,5895.960700282194,5906.901172069815,5911.819315905891,5895.176390691289,5896.18684283506
45,5856.51374788356,5823.135738457492,5890.423260635193,5857.66355472591,5842.090609970918,5864.753785926687,5870.358857181227,5875.094446698025,5849.778839493011,5877.558055251848
46,5740.681648121401,5722.219268252367,5775.836590029679,5731.023784107821,5749.936288256649,5762.242133477108,5792.052777468068,5763.8994909234925,5730.118390338026,5750.8595343530915
47,5568.31604542363,5554.419947624102,5613.496479544195,5578.1032029837015,5588.962249052739,5593.873077060251,5621.777190188252,5598.962167784575,5593.486791698686,5558.48146449422
48,5398.519927630357,5436.856082570173,5453.932131754423,5421.146971115973,5426.728413299193,5447.494976395317,5444.020169380293,5427.586648271047,5439.363267349391,5456.231794511764
49,5263.657983263058,5295.172769368856,5296.564303401024,5311.701175245766,5301.342216712958,5274.814914746658,5295.278005995893,5278.929315050559,5293.719357858433,5290.984368250806
50,5252.522447309171,5254.562601319227,5261.298121184915,5261.1448104033525,5251.726290561871,5242.811563190464,5223.865068184289,5233.83421166606,5248.19666365502,5256.482979802579
51,5171.619197853829,5194.380796257979,5175.346299065584,5179.436862974167,5171.658390433122,5181.046277965111,5142.648418748076,5163.414651096558,5146.483154053377,5174.045049064101
52,5137.331342946551,5159.893611284464,5093.600019778424,5163.452657107494,5157.899844312722,5134.342547725498,5128.60801440593,5156.7468711882675,5134.736988425574,5140.3102861425505
53,5091.125562319384,5137.957323905107,5128.570702175391,5121.949856457375,5133.235819847749,5113.645479490481,5129.661606700943,5125.395152860647,5100.187562058796,5169.53637834828
54,5082.445449824767,5127.214707831009,5116.201643447286,5103.800496804876,5098.476164359526,5085.522520375716,5112.51878527899,5093.141437380262,5096.753006537328,5104.169999087345
55,5106.675906187697,5135.042616018741,5132.860756426356,5095.329821489629,5105.106216728496,5104.186267452177,5123.300217325192,5094.791654744755,5106.688636943966,5113.41748368065
56,5177.087863531058,5158.934143550678,5113.829785585551,5120.614327487826,5142.977247957088,5131.839147402714,5164.516762969199,5155.230862295893,5165.048976096713,5129.126455808882
57,5145.487025310674,5139.538097524052,5146.154350733634,5118.127187122272,5143.234907012822,5135.031830726179,5165.39340948483,5167.8098285556825,5165.143647535395,5153.460511903806
58,5140.670065683384,5163.650856360166,5177.479152004845,5143.751786927532,5175.8131802409525,5178.67342794693,5200.932529218497,5207.803740107408,5193.742801731343,5196.485890172012
59,5234.135970146792,5225.956790876142,5214.801237892893,5246.419128446018,5212.042163454593,5233.368750708385,5230.487858352644,5243.821019033611,5232.671686569268,5231.637983101682
60,5248.545386147768,5249.040753033544,5226.818586979703,5217.098824299641,5203.341124385331,5223.398425772042,5225.943115639973,5237.218797896306,5231.587123396142,5240.937635655146
61,5213.612928377406,5208.972049022201,5185.531208277729,5195.475604574926,5187.786955278099,5180.1794982394,5208.832217790154,5223.010076153272,5201.780572152071,5195.178916975318
62,5217.306240471042,5197.790277780815,5176.632359306651,5197.121562260681,5207.848784449762,5200.944334623366,5224.804180310488,5226.657302971213,5233.724731442104,5211.973958201006
63,5100.2619472846145,5105.098824953013,5072.267714390499,5094.557838769294,5085.579875356344,5097.84769417797,5127.485959379256,5118.6896044282275,5086.445416918188,5110.731623705802
64,5019.761560691965,5042.885226277063,5052.228889623685,5019.659316340213,4999.239336480609,5035.740356436271,4998.066851914024,4987.865967293026,5023.2618981093865,4997.575969803456
65,5029.754395972947,5033.4812859445365,5011.15362971406,5004.226614423968,5013.015175808441,5031.429282819661,4984.363333463796,4979.305538587162,5019.823845541491,5027.25567788437
66,4974.913217899717,4985.22416103889,5005.112061720517,4994.206930621233,5001.105530798534,4979.636557884662,4983.35903039639,4995.385375573327,4993.900401579482,5001.746144121314
67,4880.623087824558,4871.808727381997,4871.577100181775,4891.152266207236,4878.455702617201,4899.844291760689,4872.559516834207,4873.344308848854,4886.805636551128,4880.810124113427
68,4849.345453658098,4815.017148094804,4765.477525454552,4824.821904663475,4788.787719270174,4826.437235630077,4802.044805013768,4807.96613315366,4817.719767720498,4804.966286096762
69,4813.097030655548,4823.709353008195,4772.429519541577,4839.109035203799,4795.987118024488,4786.656901880612,4803.098492363345,4791.31331289147,4818.274214453844,4816.611822093647
70,4711.735881870145,4726.825211102383,4703.49451318614,4714.834082011188,4738.110220148921,4723.948579604572,4744.6473079251555,4721.2651654756255,4725.406882970933,4739.0855103415015
71,4655.764099983557,4680.6626330494455,4634.132957690972,4655.83219910588,4706.391088788148,4688.39881791476,4712.011890935399,4703.167236707069,4664.46683972346,4698.504547045057
72,4774.043202570149,4789.029581823823,4747.339041130481,4772.900933859692,4816.900205814692,4786.7369018552245,4792.90681041376,4776.1803271205845,4776.783669823812,4793.689507982561
73,4827.935390762533,4832.068507332625,4826.041220265526,4823.797476343493,4845.725527999703,4844.753574463002,4863.21717169986,4869.5291424387715,4830.782411084394,4837.954552826461
74,4947.71477630181,4926.379592409655,4980.200723982691,4928.509978007621,4928.244765561261,4951.4266764106615,4966.105358984782,4989.4231537831,4939.058948744833,4952.5881646273465
75,5133.250694828183,5093.832984961168,5111.91182172744,5070.030011548909,5051.493078579875,5092.616107980216,5098.765703325385,5117.181270353787,5088.107896630307,5085.647675437852
76,5331.286742058942,5286.127204765296,5303.108532873409,5309.759341824854,5266.002694950424,5323.2969140757095,5281.655508066811,5294.42006729132,5319.222275855442,5314.568017461088
77,5448.699140275157,5473.51270098828,5460.1418227560935,5481.641471984851,5472.683780105453,5472.710291389255,5439.359415906759,5462.36946682621,5489.317560794932,5486.662892875479
78,5687.8948707220825,5753.1514892139185,5701.54440188354,5720.255964081903,5733.372946966911,5704.2149872363525,5677.781327357249,5667.728931285431,5735.488023274728,5708.62254021463
79,5975.934903924335,5984.266965608007,6004.509043218972,5968.990649025621,5954.289227347944,5961.496154657424,5924.237516352018,5921.9663393109195,5988.008836106235,5949.525285488706
80,6259.083440045645,6277.597367600777,6263.076858925713,6255.0002888098925,6246.301712663802,6292.325738107685,6233.251354924512,6210.465143708665,6295.942691276589,6251.756661081877
81,6504.628030276512,6523.489495163818,6517.371951768742,6487.292020128518,6489.80203554458,6519.056972098323,6504.980750703224,6496.185942237731,6518.6450357946605,6508.89514144752
